tm,DVm,PVm
2.110000000000000000e+02,1.000000000000000000e+00,4.020250000000000767e-01
2.120000000000000000e+02,1.000000000000000000e+00,4.020250000000000767e-01
2.130000000000000000e+02,1.000000000000000000e+00,4.020250000000000767e-01
2.140000000000000000e+02,1.000000000000000000e+00,4.060500000000001330e-01
2.150000000000000000e+02,1.000000000000000000e+00,4.092750000000002220e-01
2.160000000000000000e+02,1.000000000000000000e+00,4.100750000000001338e-01
2.170000000000000000e+02,1.000000000000000000e+00,4.100750000000001338e-01
2.180000000000000000e+02,1.000000000000000000e+00,4.108750000000000457e-01
2.190000000000000000e+02,1.000000000000000000e+00,4.132999999999995566e-01
2.200000000000000000e+02,1.000000000000000000e+00,4.156999999999996254e-01
2.210000000000000000e+02,1.000000000000000000e+00,4.181250000000001910e-01
2.220000000000000000e+02,1.000000000000000000e+00,4.181250000000001910e-01
2.230000000000000000e+02,1.000000000000000000e+00,4.181250000000001910e-01
2.240000000000000000e+02,1.000000000000000000e+00,4.181250000000001910e-01
2.250000000000000000e+02,1.000000000000000000e+00,4.189250000000001029e-01
2.260000000000000000e+02,1.000000000000000000e+00,4.229500000000001592e-01
2.270000000000000000e+02,1.000000000000000000e+00,4.261749999999995819e-01
2.280000000000000000e+02,1.000000000000000000e+00,4.261749999999995819e-01
2.290000000000000000e+02,1.000000000000000000e+00,4.261749999999995819e-01
2.300000000000000000e+02,1.000000000000000000e+00,4.261749999999995819e-01
2.310000000000000000e+02,1.000000000000000000e+00,4.261749999999995819e-01
2.320000000000000000e+02,1.000000000000000000e+00,4.302250000000000796e-01
2.330000000000000000e+02,1.000000000000000000e+00,4.342500000000001359e-01
2.340000000000000000e+02,1.000000000000000000e+00,4.342500000000001359e-01
2.350000000000000000e+02,1.000000000000000000e+00,4.342500000000001359e-01
2.360000000000000000e+02,1.000000000000000000e+00,4.350500000000000478e-01
2.370000000000000000e+02,1.000000000000000000e+00,4.390750000000000486e-01
2.380000000000000000e+02,1.000000000000000000e+00,4.414999999999995595e-01
2.390000000000000000e+02,1.000000000000000000e+00,4.423000000000001930e-01
2.400000000000000000e+02,1.000000000000000000e+00,4.423000000000001930e-01
2.410000000000000000e+02,1.000000000000000000e+00,4.423000000000001930e-01
2.420000000000000000e+02,1.000000000000000000e+00,4.423000000000001930e-01
2.430000000000000000e+02,1.000000000000000000e+00,4.455249999999996158e-01
2.440000000000000000e+02,1.000000000000000000e+00,4.503499999999995285e-01
2.450000000000000000e+02,1.000000000000000000e+00,4.503499999999995285e-01
2.460000000000000000e+02,1.000000000000000000e+00,4.503499999999995285e-01
2.470000000000000000e+02,1.000000000000000000e+00,4.503499999999995285e-01
2.480000000000000000e+02,1.000000000000000000e+00,4.527750000000000941e-01
2.490000000000000000e+02,1.000000000000000000e+00,4.560000000000002385e-01
2.500000000000000000e+02,1.000000000000000000e+00,4.576000000000000623e-01
2.510000000000000000e+02,1.000000000000000000e+00,4.583999999999995856e-01
2.520000000000000000e+02,1.000000000000000000e+00,4.583999999999995856e-01
2.530000000000000000e+02,1.000000000000000000e+00,4.583999999999995856e-01
2.540000000000000000e+02,1.000000000000000000e+00,4.583999999999995856e-01
2.550000000000000000e+02,1.000000000000000000e+00,4.583999999999995856e-01
2.560000000000000000e+02,1.000000000000000000e+00,4.583999999999995856e-01
2.570000000000000000e+02,1.000000000000000000e+00,4.624500000000001387e-01
2.580000000000000000e+02,1.000000000000000000e+00,4.648500000000002075e-01
2.590000000000000000e+02,1.000000000000000000e+00,4.664750000000001395e-01
2.600000000000000000e+02,1.000000000000000000e+00,4.664750000000001395e-01
2.610000000000000000e+02,1.000000000000000000e+00,4.664750000000001395e-01
2.620000000000000000e+02,1.000000000000000000e+00,4.664750000000001395e-01
2.630000000000000000e+02,1.000000000000000000e+00,4.664750000000001395e-01
2.640000000000000000e+02,1.000000000000000000e+00,4.664750000000001395e-01
2.650000000000000000e+02,1.000000000000000000e+00,4.688749999999995421e-01
2.660000000000000000e+02,1.000000000000000000e+00,4.713000000000001077e-01
2.670000000000000000e+02,1.000000000000000000e+00,4.737249999999996186e-01
2.680000000000000000e+02,1.000000000000000000e+00,4.745250000000001966e-01
2.690000000000000000e+02,1.000000000000000000e+00,4.745250000000001966e-01
